cnpj,Cluster
0,0
1023570,0
10264663,1
10371492,2
10664513,2
1149953,2
1181521,1
122327,2
13009717,1
14388334,0
15114366,0
15163587,0
15173776,1
15213192,4
1522368,0
1701201,0
17167412,2
17184037,0
17192451,0
17298092,0
17351180,2
2038232,1
208,1
2206577,4
2318507,0
2507173,0
253448,0
27406222,4
27937333,0
28127603,1
28145829,1
28195667,0
2885855,0
29030467,0
2977348,0
2992446,2
3012230,1
3017677,0
30306294,0
30723886,0
31597552,1
31880826,2
31895683,1
32062580,1
32254138,2
33040601,0
33042151,0
33042953,0
33124959,0
33132044,2
33136888,4
33172537,0
3323840,1
33254319,1
33349358,0
33466988,0
33479023,0
33603457,0
33644196,0
33657248,0
33753740,1
33775974,0
33876475,0
33884941,0
33918160,0
33923111,1
33923798,1
33987793,0
34098442,4
34111187,0
34169557,0
34270520,2
3502961,2
3532415,0
3584906,0
360305,0
3609817,0
3634220,2
3722919,2
38486817,0
3882245,0
40429946,2
411939,0
416968,2
4184779,4
43180355,0
43717511,0
4379829,4
43818780,2
44189447,1
4452473,2
4862600,4
4866275,0
48795256,0
4902979,0
4913711,1
49336860,1
5040481,0
50585090,1
517645,0
5192316,4
54403563,0
558456,2
5676026,2
57839805,2
58017179,2
58160789,0
58229246,0
58497702,0
58616418,0
59109165,2
59118133,0
59274605,2
59285411,2
59438325,0
59461152,0
59588111,0
60419645,4
60498557,1
60518222,1
60701190,0
60746948,0
60770336,1
60779196,4
60814191,2
60850229,2
60889128,0
61024352,1
61033106,2
61088183,0
61186680,0
61190658,2
61199881,1
61348538,0
61533584,0
61784278,2
61820817,0
62136254,1
62144175,2
62169875,0
62232889,0
62237367,0
62237425,2
62331228,0
62421979,2
655522,1
6881898,4
68900810,0
69141539,0
71027866,0
7207996,2
7221678,4
7237373,0
74014747,0
7441209,2
7450604,2
74828799,0
7554076,0
75647891,0
7679404,2
7707650,2
78632767,0
795423,0
80271455,1
8030215,2
8257293,0
82937293,0
8357240,4
90400888,0
90731688,2
9105360,0
91884981,0
92228410,2
92702067,1
92816560,2
92874270,0
92894922,0
9391857,0
9464032,4
9516419,0
0,0
1023570,0
10371492,2
10663610,1
10664513,2
11417016,2
11434526,2
11476673,0
1149953,2
1181521,1
122327,2
13009717,1
1432688,2
14388334,2
15114366,0
15163587,0
15173776,1
1522368,0
1701201,0
17167412,2
17184037,0
17192451,0
17298092,0
17351180,2
2038232,0
208,2
2206577,4
2318507,1
253448,0
27406222,4
27937333,0
28127603,1
28145829,1
28195667,0
2885855,0
2977348,0
2992446,0
3012230,0
3017677,0
30306294,0
30723886,0
3183937,0
31880826,2
31895683,1
32062580,2
32254138,2
33040601,0
33042151,0
33042953,0
33124959,0
33132044,2
33136888,4
33172537,0
3323840,1
33254319,1
33349358,2
33466988,0
33479023,0
33588252,1
33603457,0
33644196,0
33657248,0
33753740,1
33775974,0
33876475,0
33884941,2
33923111,1
33923798,1
33987793,0
34098442,4
34111187,0
34169557,0
34270520,2
3502961,0
3532415,0
3584906,0
360305,0
3609817,0
3634220,2
3722919,2
38486817,0
3882245,0
40429946,2
411939,0
416968,2
4184779,4
43060029,0
43180355,4
4379829,0
43818780,2
44189447,1
4452473,2
4862600,0
4866275,0
48795256,0
4902979,0
4913711,2
49336860,0
5040481,0
50585090,1
517645,0
5192316,4
54403563,2
556603,0
558456,2
5676026,2
57839805,2
58017179,2
58160789,0
58229246,0
58497702,0
58616418,0
59109165,2
59118133,0
59274605,2
59285411,0
59438325,0
59461152,0
5956581,4
59588111,0
60419645,4
60498557,1
60518222,1
60701190,0
60746948,0
60770336,1
60779196,4
60814191,2
60850229,2
60889128,0
61024352,0
61033106,0
61088183,0
61186680,0
61190658,2
61348538,0
61533584,0
61739629,0
61784278,2
61820817,0
62136254,1
62144175,1
62169875,0
62232889,0
62237367,0
62237425,2
62331228,0
62421979,4
655522,1
6881898,4
68900810,0
71027866,0
7207996,2
7221678,4
7237373,0
74014747,0
7441209,2
7450604,2
74828799,0
7554076,0
75647891,0
7679404,2
7707650,2
78632767,0
795423,0
80271455,1
8030215,2
82937293,0
8357240,4
90400888,0
90731688,2
9105360,0
91884981,0
92228410,2
92702067,2
92764489,2
92816560,2
92874270,2
92894922,0
9391857,2
9464032,4
9516419,0
0,0
1023570,0
10371492,0
10663610,1
10664513,2
10690848,1
11417016,2
11476673,2
1181521,0
12865507,0
13009717,2
14388334,0
15114366,0
15163587,0
15173776,1
1522368,0
1701201,0
17167412,2
17184037,0
17192451,0
17298092,0
17351180,2
2038232,0
208,2
2318507,1
253448,0
2658435,0
27406222,4
27937333,0
28127603,1
28145829,2
28195667,0
2977348,0
2992446,0
3012230,0
3017677,0
30306294,0
30723886,0
31880826,2
31895683,2
32062580,0
32254138,0
33040601,0
33042151,0
33042953,0
33124959,0
33132044,0
33136888,2
33172537,0
3323840,2
33254319,2
33349358,2
33466988,0
33479023,0
33588252,2
33603457,0
33644196,0
33657248,0
33709114,0
33753740,1
33775974,0
33884941,0
33923111,1
33923798,1
33987793,0
34098442,4
34111187,0
34169557,0
34270520,2
3502961,0
3532415,1
360305,0
3609817,0
3634220,2
38486817,0
40429946,2
416968,2
4184779,4
43180355,4
43818780,2
44189447,1
4866275,0
48795256,0
4902979,0
4913711,2
49336860,0
5040481,0
50585090,1
517645,0
51938876,1
54403563,2
558456,2
57839805,2
58017179,2
58160789,0
58229246,0
58497702,0
58616418,0
59109165,2
59118133,0
59274605,2
59285411,0
59438325,0
59461152,0
59588111,0
60419645,4
60498557,0
60518222,1
60701190,0
60746948,0
60770336,1
60814191,2
60850229,2
60889128,0
61024352,0
61033106,0
61088183,0
61146577,0
61186680,0
61190658,2
61348538,0
61533584,0
61739629,0
61784278,2
61820817,0
62073200,0
62144175,0
62232889,0
62237367,0
62237425,2
62331228,0
62421979,2
68900810,2
71027866,0
7207996,2
7237373,0
74014747,0
7441209,0
74451022,0
7450604,2
74828799,0
75647891,0
7679404,2
78632767,0
795423,0
80271455,1
82937293,0
8357240,4
90400888,0
90731688,2
91884981,0
92228410,2
92702067,2
92764489,2
92816560,2
92874270,2
92894922,0
9391857,2
9516419,0
9526594,2
0,0
1023570,0
10371492,0
10663610,0
10664513,2
10690848,0
11271860,2
11417016,0
11476673,2
1149953,0
1181521,0
122327,2
12865507,0
13009717,2
14388334,0
15114366,0
15163587,0
15173776,1
1522368,0
15357060,1
1701201,0
17167412,2
17184037,0
17192451,0
17298092,0
17351180,2
1800019,4
2038232,0
208,2
2206577,4
2318507,1
253448,0
2658435,0
27406222,4
27937333,0
28127603,1
28145829,2
28195667,0
2885855,0
29030467,0
2992446,0
3012230,4
3017677,0
30306294,0
30723886,0
3183937,0
31880826,2
31895683,2
32062580,0
33040601,2
33042151,0
33042953,0
33132044,0
33136888,2
33172537,0
3323840,2
33254319,2
33349358,2
33466988,0
33479023,0
33588252,4
33603457,0
33644196,0
33657248,0
33709114,0
33753740,1
33884941,4
33885724,2
33923798,0
33987793,0
34098442,4
34111187,0
34169557,0
34270520,0
3502961,0
3584906,0
360305,0
3609817,0
3634220,2
3722919,2
38486817,0
3882245,0
40429946,2
411939,0
416968,2
4184779,4
43180355,4
4379829,4
43818780,0
4452473,2
4814563,4
4862600,0
48795256,0
4902979,0
4913711,2
49336860,0
5040481,0
50585090,1
517645,0
5192316,4
51938876,0
54403563,0
556603,0
558456,2
5676026,2
57839805,2
58017179,2
58160789,0
58229246,0
58497702,0
58616418,0
59109165,2
59118133,0
59274605,2
59285411,0
59438325,0
5956581,4
59588111,0
60419645,0
60498557,0
60518222,0
60701190,0
60746948,0
60770336,1
60779196,4
60814191,2
60850229,2
60889128,0
61024352,0
61033106,0
61088183,0
61186680,0
61348538,0
61533584,0
61739629,0
61784278,2
61820817,1
62073200,0
62144175,0
62232889,0
62237367,0
62237425,2
62421979,2
655522,1
6881898,4
68900810,0
71027866,0
7207996,2
7221678,1
7237373,0
74014747,0
7441209,0
7450604,2
74828799,0
7512441,2
7554076,0
75647891,0
7679404,2
7707650,2
78632767,0
795423,0
80271455,1
8030215,2
82937293,0
8357240,4
90400888,0
90731688,2
9105360,0
91884981,0
92228410,2
92702067,0
92764489,2
92816560,2
92874270,2
92894922,1
9313766,0
9391857,2
9464032,4
9516419,0
9526594,2
0,0
1023570,0
10371492,0
10663610,0
10664513,2
10690848,0
11417016,0
11476673,2
1149953,2
1181521,0
122327,2
12865507,0
13009717,2
13660104,4
14388334,0
15114366,0
15163587,0
1522368,0
15357060,0
1701201,0
17167412,2
17184037,0
17192451,0
17351180,2
1800019,4
2038232,0
208,2
2206577,4
2318507,1
253448,0
2658435,2
27406222,4
28127603,1
28145829,2
28195667,0
2885855,0
29030467,0
2992446,0
3012230,4
3017677,0
30306294,0
30723886,0
31880826,2
31895683,2
32062580,0
3215790,0
33040601,2
33042151,0
33042953,0
33132044,0
33136888,2
33147315,1
33172537,0
3323840,2
33254319,4
33349358,2
33466988,0
33479023,0
33588252,2
33603457,0
33644196,0
33657248,0
33709114,0
33753740,1
33884941,4
33885724,2
33923798,0
33987793,0
34111187,0
34169557,0
34270520,0
3502961,0
3584906,0
360305,0
3609817,0
3634220,2
38486817,0
40429946,2
411939,0
416968,2
4184779,4
43180355,4
4332281,0
4379829,4
43818780,0
44189447,1
4452473,2
45246410,0
4814563,2
4862600,0
48795256,0
4902979,0
4913711,2
49336860,0
5040481,0
50585090,2
517645,0
5192316,4
51938876,0
54403563,0
5503849,0
556603,2
558456,2
5676026,2
57839805,0
58017179,2
58160789,0
58229246,0
58497702,0
58616418,0
59109165,2
59118133,0
59274605,2
59285411,0
59438325,0
5956581,4
59588111,0
6040559,0
60498557,0
60518222,0
60701190,0
60746948,0
60770336,1
60779196,4
60814191,2
60850229,2
60889128,0
61024352,1
61033106,0
61088183,0
61186680,2
61348538,0
61533584,0
61784278,2
61820817,1
62073200,0
62144175,0
62232889,0
62237367,0
62237425,2
62331228,0
62421979,2
655522,1
6881898,4
68900810,0
71027866,0
7207996,2
7237373,0
74014747,0
7441209,0
7450604,2
74828799,0
7512441,0
7554076,0
75647891,0
7679404,0
7707650,2
78632767,0
795423,0
80271455,1
82937293,0
8357240,4
90400888,0
90731688,2
9105360,0
91884981,0
92228410,2
92702067,0
92764489,2
92816560,2
92874270,2
92894922,0
9313766,2
9391857,2
9464032,4
9516419,0
9526594,4
0,0
1023570,0
10371492,0
10663610,0
10664513,0
10690848,0
11271860,2
11417016,0
11476673,0
1149953,2
1181521,0
122327,2
12865507,0
13009717,2
13220493,0
13434335,0
13660104,4
14388334,0
15114366,0
15163587,0
1522368,0
15357060,0
1701201,0
17167412,2
17184037,0
17192451,0
17351180,2
17453575,1
1800019,4
2038232,0
208,2
2206577,4
2318507,1
253448,0
2658435,2
27098060,4
27406222,4
28127603,1
28145829,2
28195667,0
2885855,2
29030467,0
2992446,0
3012230,4
3017677,0
30306294,0
30723886,0
31880826,1
31895683,2
32062580,0
3215790,0
33040601,2
33042151,0
33042953,0
33132044,0
33136888,2
33147315,1
33172537,0
3323840,2
33254319,4
33349358,0
33466988,0
33479023,0
33588252,2
33603457,0
33644196,0
33657248,0
33709114,0
33884941,0
33885724,2
33923798,0
33987793,0
34111187,0
34169557,0
34270520,0
3502961,0
3584906,0
360305,0
3609817,0
3634220,0
38486817,0
3918382,0
40429946,2
411939,0
416968,2
4184779,4
43180355,4
4379829,4
43818780,2
44189447,1
4452473,2
45246410,0
4814563,2
4862600,0
48795256,0
4902979,0
4913711,2
49336860,0
5040481,0
50585090,2
517645,0
5192316,4
51938876,0
54403563,2
5503849,0
556603,2
558456,2
5676026,2
57839805,0
58017179,2
58160789,0
58229246,0
58497702,0
58616418,0
59109165,2
59118133,0
59274605,2
59285411,0
5940203,0
59438325,0
5956581,4
59588111,0
6040559,0
60498557,0
60518222,0
60701190,0
60746948,0
60770336,1
60814191,2
60850229,2
60889128,0
61024352,1
61033106,0
61088183,0
61186680,0
61348538,0
61533584,0
61784278,2
61820817,1
62073200,0
62144175,0
62232889,0
62237367,0
62237425,2
62331228,0
62421979,2
655522,1
6881898,4
68900810,0
71027866,1
71371686,2
7207996,2
7237373,0
74014747,0
7441209,0
7450604,0
74828799,0
7512441,2
75647891,0
76543115,1
7679404,0
7707650,2
78632767,0
795423,0
80271455,1
82937293,0
8357240,4
90400888,0
90731688,2
9105360,0
91884981,0
92228410,4
92702067,0
92764489,2
92816560,2
92874270,2
92894922,0
9313766,2
9464032,4
9516419,0
9526594,4
0,0
1023570,0
10371492,0
10663610,0
10664513,0
10690848,0
10694628,2
11271860,2
11417016,0
11476673,0
1149953,2
1181521,0
122327,4
12865507,0
13009717,2
13220493,0
13434335,0
14388334,2
14511781,0
15114366,0
15163587,0
15173776,1
1522368,0
15357060,0
1701201,0
17167412,2
17184037,2
17192451,0
17351180,2
17453575,1
1800019,4
2038232,0
208,2
2206577,4
2318507,1
253448,0
2658435,0
27098060,4
27406222,4
28127603,1
28145829,2
28195667,0
2885855,2
29030467,0
2992446,0
3012230,4
3017677,0
30306294,0
30723886,0
31880826,1
31895683,2
32062580,0
3215790,0
33040601,2
33042151,0
33042953,0
33132044,0
33136888,2
33147315,1
33172537,0
3323840,2
33254319,4
33349358,0
33466988,0
33479023,0
33588252,4
33603457,0
33644196,0
33657248,0
33884941,0
33885724,2
33923798,0
33987793,0
34111187,0
34169557,1
34270520,2
3502961,0
3532415,1
3584906,0
360305,0
3609817,0
3634220,2
38486817,0
3918382,0
40429946,2
411939,0
416968,2
4184779,4
43180355,4
4379829,4
43818780,2
44189447,1
4452473,2
45246410,0
4814563,2
4862600,0
4866275,1
48795256,0
4902979,0
4913711,2
49336860,0
5040481,0
517645,0
5192316,4
51938876,0
54403563,2
5503849,0
55230916,2
556603,2
558456,2
5676026,2
57839805,0
58017179,2
58160789,0
58497702,2
58616418,0
59109165,2
59118133,0
59274605,2
59285411,0
5940203,0
59438325,0
5956581,0
59588111,0
6040559,0
60498557,0
60518222,0
60701190,0
60746948,0
60770336,1
60779196,4
60814191,2
60850229,0
60889128,0
61024352,1
61033106,0
61088183,0
61186680,0
61348538,0
61533584,0
61820817,1
62073200,0
62144175,0
62232889,0
62237367,0
62237425,2
62307848,2
62331228,0
655522,0
6881898,4
68900810,0
71027866,1
71371686,2
7207996,2
7237373,0
74014747,0
7441209,0
7450604,0
74828799,0
7512441,2
75647891,0
76543115,1
7656500,1
7679404,0
7707650,2
7747410,4
78632767,0
795423,0
80271455,1
82937293,0
8357240,4
90400888,0
90731688,2
9105360,0
91884981,0
92228410,4
92702067,0
92764489,2
92816560,2
92874270,2
92894922,0
9313766,2
9464032,4
9516419,1
9526594,4
0,0
1023570,0
10371492,0
10663610,0
10664513,4
10690848,0
10694628,2
11271860,4
11417016,0
11476673,0
1149953,2
1181521,0
122327,4
12865507,0
13009717,2
13220493,0
14388334,2
14388516,0
14511781,0
15114366,0
15163587,0
15173776,1
1522368,0
15357060,0
17167412,2
17184037,0
17192451,0
17351180,2
17453575,1
1800019,4
2038232,0
208,0
2206577,4
2318507,0
23522214,1
23903068,0
253448,0
2658435,0
27098060,4
27406222,4
28127603,1
28145829,2
28195667,0
2885855,2
29030467,0
2992446,0
3012230,1
3017677,0
30306294,0
30723886,0
31880826,1
31895683,2
32062580,0
3215790,0
33040601,2
33042151,0
33042953,0
33132044,0
33136888,2
33147315,1
33172537,0
3323840,2
33254319,4
33466988,0
33479023,0
33588252,1
33603457,0
33644196,0
